,LINK_ID,Source,Target,MAX_SPD
560,1540099400,1540032900,1540021100,60.0
561,1510059800,1510016600,1510008400,50.0
562,1540094900,1540030600,1540013700,70.0
563,1540095000,1540013700,1540030600,70.0
564,1540095100,1540019600,1540031900,60.0
565,1540102300,1540031900,1540019600,60.0
566,1540102400,1540035600,1540028700,70.0
567,1540102500,1540028700,1540035600,70.0
568,1540102600,1540026700,1540035000,60.0
569,1540102700,1540035000,1540035400,60.0
570,1540102800,1540035400,1540035000,60.0
571,1540102900,1540035000,1540026700,60.0
572,1560089200,1560025800,1560025700,40.0
573,1560089300,1560025700,1560025800,40.0
574,1520026500,1520007400,1520007600,50.0
575,1500028300,1520007600,1500003000,50.0
576,1500028400,1500003000,1520007600,50.0
577,1520026600,1520007600,1520007400,50.0
578,1520026700,1520005600,1520008400,30.0
579,1520026800,1520008400,1520005600,30.0
580,1540103600,1540016100,1540030700,30.0
581,1500029600,1500008300,1500008500,30.0
582,1500029700,1500008500,1500008300,30.0
583,1500029800,1500008300,1500007900,30.0
584,1540104200,1540020600,1540031700,30.0
585,1540104300,1540031700,1540020600,30.0
586,1510054000,1510015700,1510016000,60.0
587,1510054100,1510016000,1510015900,60.0
588,1540103000,1540035900,1540029600,30.0
589,1540103100,1540029600,1540035900,30.0
590,1540103200,1540034600,1540035100,30.0
591,1540103300,1540035100,1540034600,30.0
592,1540103400,1540034900,1540034700,30.0
593,1540103500,1540034700,1540034900,30.0
594,1540092200,1540035800,1540035600,60.0
595,1540092300,1540024000,1540033900,40.0
596,1540092400,1540033900,1540024000,40.0
597,1540092500,1540023400,1540033900,40.0
598,1540092600,1540033900,1540034000,40.0
599,1540092700,1540034000,1540033900,40.0
600,1540092800,1540033900,1540023400,40.0
601,1540092900,1540032400,1540032200,50.0
602,1540093000,1540032200,1540032400,50.0
603,1540093100,1540031600,1540031800,50.0
604,1540093200,1540031800,1540031600,50.0
605,1540093300,1540031800,1540031500,50.0
606,1540093400,1540031500,1540031800,50.0
607,1540105700,1540031800,1540032000,50.0
608,1540106400,1540032800,1540033100,50.0
609,1540106500,1540033100,1540032800,50.0
610,1540106600,1540032800,1540032600,50.0
611,1540106700,1540032100,1540032300,50.0
612,1540106800,1540032300,1540032100,50.0
613,1540106900,1540031800,1540031900,50.0
614,1540107000,1540031900,1540032100,50.0
615,1540107100,1540032100,1540031900,50.0
616,1540107800,1540035200,1540035100,60.0
617,1540107900,1540035100,1540035200,60.0
618,1540108000,1540035200,1540035300,30.0
619,1540108100,1540021900,1540031300,50.0
620,1540108200,1540031300,1540003400,50.0
621,1540108300,1540003400,1540031300,50.0
622,1540108400,1540031300,1540021900,50.0
623,1510048000,1510016800,1510017300,40.0
624,1540108500,1540035600,1540035500,30.0
625,1540108600,1540035500,1540034800,30.0
626,1530026300,1530003900,1530007700,30.0
627,1530026400,1530007700,1530003900,30.0
628,1540108700,1540031000,1540031100,30.0
629,1540108800,1540031100,1540031000,30.0
630,1530026500,1530007100,1530008400,60.0
631,1540109600,1540035500,1540027700,30.0
632,1540109700,1540036000,1540007600,70.0
633,1540109800,1540007600,1540036000,70.0
634,1510049200,1510019600,1510019700,40.0
635,1510049300,1510019700,1510019600,40.0
636,1510049400,1510019700,1510019800,60.0
637,1510049500,1510019800,1510019700,60.0
638,1540101600,1540035900,1540007200,70.0
639,1540102100,1540035300,1540029100,30.0
640,1540102200,1540029100,1540035300,30.0
641,1540110600,1540034700,1540006700,70.0
642,1540110700,1540006700,1540034700,70.0
643,1540110800,1540034700,1540035200,70.0
644,1540110900,1540006300,1540034600,70.0
645,1540111000,1540034600,1540026000,70.0
646,1540111100,1540026000,1540034600,70.0
647,1540111200,1540034600,1540006300,70.0
648,1540112000,1540034500,1540025300,40.0
649,1540112500,1540004700,1540033600,70.0
650,1540112600,1540033600,1540004700,70.0
651,1540112700,1540033600,1540033800,70.0
652,1540113500,1540020300,1540032100,50.0
653,1540113600,1540032100,1540021300,50.0
654,1540113700,1540021300,1540032100,50.0
655,1540113800,1540032100,1540020300,50.0
656,1540113900,1540020900,1540032600,60.0
657,1540114000,1540032600,1540021500,60.0
658,1540114100,1540021500,1540032600,60.0
659,1540115600,1540031500,1540019600,50.0
